id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
94662,London Homestay 5* Host,388516,Teresa,,Lewisham,51.44809,466.9642857,Entire home/apt,120,3,114,22-09-2014,0.83,1,0,0
96052,*CENTRAL* modern and clean double room in Zone 2,448154,Aneta,,Brent,51.5593,473.246,Private room,46,3,75,01-07-2022,0.54,1,275,5
97506,Lovely Victorian Room Streatham,497537,Keith,,Lambeth,51.42996,479.5277143,Private room,35,2,33,07-10-2019,0.24,1,222,0
97974,Large bedroom with 1 double bed,517799,Sue & Jon,,Richmond upon Thames,51.46652,485.8094286,Private room,30,2,91,04-05-2018,0.8,1,0,0
98541,Gorgeous Victorian Flat LONDON,519891,Alicja,,Haringey,51.57271,492.0911429,Entire home/apt,99,8,37,26-08-2022,0.3,1,352,3
98776,Single room; friendly house; East London,134606,Cryn,,Newham,51.53443,498.3728571,Private room,28,1,124,29-08-2022,0.9,2,7,12
100479,DBL rm near Trendy Shoreth\Brick La,506748,Mireya,,Tower Hamlets,51.52819,504.6545714,Private room,55,1,4,24-09-2015,0.05,1,0,0
102565,South Bank Bijou Studio Flat,536025,Anne,,Lambeth,51.50551,510.9362857,Private room,115,5,354,30-08-2022,2.57,1,158,17
103682,"Newly upgraded! 2 private rooms, bath, kitchenette",540340,Rachel,,Tower Hamlets,51.5347,517.218,Private room,68,3,64,09-03-2020,0.53,3,0,0
103865,Double Room Ensuite Garden Room,492218,Richard,,Hammersmith and Fulham,51.4866,523.4997143,Private room,103,7,1,09-07-2022,0.46,3,355,1
106332,"Lovely large room, Bethnal Green",264345,Susie,,Tower Hamlets,51.52874,529.7814286,Private room,55,3,65,10-06-2016,0.47,1,74,0
107048,A Luxury Studio Suite in Clerkenwell,259088,Simon,,Islington,51.52478,536.0631429,Private room,180,4,493,02-09-2022,3.59,5,236,20
107051,JESSIE the narrowboat in Little Venice,554519,Meg,,Westminster,51.52055,542.3448571,Entire home/apt,204,2,581,02-09-2022,4.26,1,193,66
116268,DOUBLE ROOM NEAR CENTRAL LONDON,586671,Joe,,Enfield,51.61137,548.6265714,Private room,30,7,32,08-09-2022,0.29,1,251,4
117203,A stylish original Victorian home in West London,255103,Olga,,Hammersmith and Fulham,51.50155,554.9082857,Entire home/apt,136,5,71,08-06-2022,0.55,1,0,10
131444,1 bedroom apartment close to centre.,646165,Yevgeniy,,Lambeth,51.49148,561.19,Entire home/apt,100,3,129,16-08-2022,0.96,2,1,5
137581,I Bedroom Apartment Tower of London,471088,Anthony,,City of London,51.51099,567.4717143,Entire home/apt,130,5,213,10-08-2019,1.57,2,1,0
137907,"Elegant Very Central: Fitzrovia W1. King Bed, Wifi",67564,Liz,,Camden,51.52197,573.7534286,Entire home/apt,185,3,63,16-08-2022,0.53,5,197,6
